City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tuktoyaktuk,CA,2022-02-12 16:51:25,69.4541,-133.0374,-27.4,68,20,6.91
68,Puerto Ayora,EC,2022-02-12 16:48:23,-0.7393,-90.3518,80.56,85,87,1.01
69,Faanui,PF,2022-02-12 16:53:04,-16.4833,-151.75,79.74,76,80,13.13
70,Englewood,US,2022-02-12 16:53:04,39.6478,-104.9878,36.03,63,63,1.99
71,Eidsvag,NO,2022-02-12 16:53:04,62.7767,8.0668,38.05,79,100,9.6
72,Namibe,AO,2022-02-12 16:53:05,-15.1961,12.1522,78.75,70,48,10.76
73,Geraldton,AU,2022-02-12 16:53:05,-28.7667,114.6,72.01,78,5,14.97
74,Nong Phai,TH,2022-02-12 16:53:05,15.9903,101.0618,83.12,63,98,1.52
75,Kaitangata,NZ,2022-02-12 16:53:05,-46.2817,169.8464,51.93,67,100,10.4
76,Baturaja,ID,2022-02-12 16:53:06,-4.1333,104.1667,73.31,94,95,2.28
77,Hofn,IS,2022-02-12 16:48:19,64.2539,-15.2082,26.44,69,94,20.67
78,Tiksi,RU,2022-02-12 16:48:30,71.6872,128.8694,-9.36,91,93,17.36
79,Dunedin,NZ,2022-02-12 16:53:06,-45.8742,170.5036,50.81,76,100,14.0
80,Butaritari,KI,2022-02-12 16:53:06,3.0707,172.7902,82.08,75,53,16.69
81,Yola,NG,2022-02-12 16:53:06,9.2,12.4833,89.98,9,78,4.81
82,Santa Rosa,PH,2022-02-12 16:53:07,14.3122,121.1114,81.1,79,100,9.78
83,Kargat,RU,2022-02-12 16:53:07,55.1956,80.2811,-3.64,98,6,8.39
84,Flin Flon,CA,2022-02-12 16:53:07,54.7682,-101.865,-14.96,70,0,8.05
85,Takab,IR,2022-02-12 16:53:07,36.4009,47.1133,17.89,83,23,3.98
86,Ponta Do Sol,PT,2022-02-12 16:53:08,32.6667,-17.1,68.72,70,17,3.83
87,Iqaluit,CA,2022-02-12 16:53:08,63.7506,-68.5145,-24.07,62,20,0.0
88,Palmer,US,2022-02-12 16:53:08,42.1584,-72.3287,58.75,47,100,9.22
89,Pevek,RU,2022-02-12 16:53:08,69.7008,170.3133,-25.02,98,100,8.86
90,Hithadhoo,MV,2022-02-12 16:53:09,-0.6,73.0833,81.81,68,85,10.51
91,Saldanha,ZA,2022-02-12 16:53:09,-33.0117,17.9442,71.65,88,100,18.19
92,Sal Rei,CV,2022-02-12 16:53:09,16.1833,-22.9167,82.6,42,100,19.57
93,Kihei,US,2022-02-12 16:54:10,20.785,-156.4656,70.84,84,2,6.17
94,Ust-Kuyga,RU,2022-02-12 16:54:10,70.0167,135.6,-15.77,98,100,8.5
95,Parsabad,IR,2022-02-12 16:54:10,39.6482,47.9174,41.32,75,0,0.0
96,Santa Marinella,IT,2022-02-12 16:54:10,42.0345,11.8536,60.26,67,9,1.97
97,Castro,BR,2022-02-12 16:49:48,-24.7911,-50.0119,79.79,45,0,3.4
98,Mahalingpur,IN,2022-02-12 16:54:11,16.3833,75.1167,75.43,34,24,9.42
99,Egham,GB,2022-02-12 16:54:11,51.4316,-0.5524,46.04,67,0,14.97
100,Kodiak,US,2022-02-12 16:51:06,57.79,-152.4072,38.71,65,0,10.36
101,Luau,AO,2022-02-12 16:54:11,-10.7073,22.2247,68.86,82,90,1.12
102,Bulgan,MN,2022-02-12 16:54:11,48.8125,103.5347,-14.15,100,98,1.77
103,Rondonopolis,BR,2022-02-12 16:54:12,-16.4708,-54.6356,85.95,70,52,1.66
104,Gravdal,NO,2022-02-12 16:54:12,68.1214,13.5031,26.02,77,16,9.22
105,San Joaquin,US,2022-02-12 16:54:12,37.9333,-121.3011,58.48,64,81,2.66
106,Talcahuano,CL,2022-02-12 16:54:12,-36.7167,-73.1167,80.28,29,0,11.5
107,Nikolskoye,RU,2022-02-12 16:54:13,59.7035,30.7861,35.71,97,100,12.44
108,Acapulco,MX,2022-02-12 16:52:22,16.8634,-99.8901,83.07,48,100,3.96
109,Grajewo,PL,2022-02-12 16:52:29,53.6473,22.4554,31.1,67,25,9.44
110,Jackson,US,2022-02-12 16:52:15,42.4165,-122.8345,33.67,80,0,0.0
111,Saint-Francois,FR,2022-02-12 16:54:13,46.4154,3.9054,42.42,70,0,5.75
112,Port Blair,IN,2022-02-12 16:54:13,11.6667,92.75,77.47,69,10,14.58
113,Vaini,TO,2022-02-12 16:54:14,-21.2,-175.2,78.96,94,20,4.61
114,Agar,IN,2022-02-12 16:54:14,23.7,76.0167,61.56,28,0,6.35
115,Artyom,AZ,2022-02-12 16:54:14,40.4723,50.333,46.54,87,5,20.87
116,Jibuti,DJ,2022-02-12 16:54:14,11.5,42.5,74.62,67,34,13.18
117,San Quintin,MX,2022-02-12 16:54:15,30.4833,-115.95,70.7,31,3,2.48
118,Constitucion,CL,2022-02-12 16:54:15,-35.3333,-72.4167,72.84,51,1,7.05
119,The Valley,AI,2022-02-12 16:54:15,18.217,-63.0578,79.11,73,40,13.8
120,Tessalit,ML,2022-02-12 16:54:15,20.1986,1.0114,81.21,8,50,12.12
121,Havoysund,NO,2022-02-12 16:54:16,70.9963,24.6622,27.48,55,93,22.32
122,Along,IN,2022-02-12 16:54:16,28.1667,94.7667,49.23,88,1,2.44
123,Pudozh,RU,2022-02-12 16:54:16,61.8099,36.5345,21.97,96,98,6.62
124,Longyearbyen,SJ,2022-02-12 16:51:15,78.2186,15.6401,10.24,79,0,13.8
125,Cidreira,BR,2022-02-12 16:54:16,-30.1811,-50.2056,79.65,68,8,15.97
126,Atar,MR,2022-02-12 16:54:17,20.5169,-13.0499,82.99,13,19,16.28
127,Shache,CN,2022-02-12 16:54:17,38.4167,77.2406,37.44,38,57,6.11
128,Anloga,GH,2022-02-12 16:54:17,5.7947,0.8973,88.02,77,97,15.35
129,Codrington,AU,2022-02-12 16:54:17,-38.2667,141.9667,63.93,66,16,10.58
130,Bambous Virieux,MU,2022-02-12 16:54:18,-20.3428,57.7575,80.85,78,40,1.14
131,Kavaratti,IN,2022-02-12 16:52:09,10.5669,72.642,80.83,70,1,7.72
132,Arraial Do Cabo,BR,2022-02-12 16:54:18,-22.9661,-42.0278,82.36,69,75,6.91
133,Dwarka,IN,2022-02-12 16:54:18,22.2394,68.9678,71.04,49,2,11.56
134,Barrow,US,2022-02-12 16:49:30,71.2906,-156.7887,-36.38,100,20,8.05
135,Mecca,SA,2022-02-12 16:54:18,21.4267,39.8261,76.3,39,1,7.34
136,Iracoubo,GF,2022-02-12 16:54:19,5.4802,-53.2011,79.7,83,68,11.88
137,Ilulissat,GL,2022-02-12 16:54:19,69.2167,-51.1,33.76,64,100,27.98
138,Bethel,US,2022-02-12 16:54:19,41.3712,-73.414,58.39,54,91,5.01
139,Narrabri,AU,2022-02-12 16:54:19,-30.3167,149.7833,66.29,52,0,13.8
140,Qaanaaq,GL,2022-02-12 16:52:41,77.484,-69.3632,-20.61,48,0,9.15
141,Huarmey,PE,2022-02-12 16:55:20,-10.0681,-78.1522,76.26,71,80,10.74
142,Fortuna,US,2022-02-12 16:55:20,40.5982,-124.1573,50.92,71,0,10.36
143,Hohhot,CN,2022-02-12 16:54:34,40.8106,111.6522,19.69,58,20,8.95
144,Visby,SE,2022-02-12 16:55:20,57.6409,18.296,35.82,75,75,17.27
145,Yellowknife,CA,2022-02-12 16:55:21,62.456,-114.3525,-20.7,81,0,4.61
146,Torbay,CA,2022-02-12 16:55:21,47.6666,-52.7314,41.58,76,100,19.57
147,Vestmannaeyjar,IS,2022-02-12 16:55:21,63.4427,-20.2734,34.79,80,75,5.75
148,Lebu,CL,2022-02-12 16:55:21,-37.6167,-73.65,68.86,55,6,13.18
149,Fairbanks,US,2022-02-12 16:51:19,64.8378,-147.7164,-4.99,76,75,3.44
150,Port Hardy,CA,2022-02-12 16:55:22,50.6996,-127.4199,38.75,100,100,3.44
151,Brindisi,IT,2022-02-12 16:55:22,40.5833,17.6667,56.17,81,100,7.07
152,Paamiut,GL,2022-02-12 16:55:22,61.994,-49.6678,21.16,94,100,13.44
153,Thatta,PK,2022-02-12 16:55:22,24.7475,67.9235,67.98,56,0,9.06
154,Kahului,US,2022-02-12 16:50:42,20.8947,-156.47,69.84,81,20,3.44
155,Aloleng,PH,2022-02-12 16:55:23,16.1307,119.7824,77.94,70,100,8.93
156,Harper,LR,2022-02-12 16:55:23,4.375,-7.7169,82.87,70,52,10.31
157,Mahebourg,MU,2022-02-12 16:55:23,-20.4081,57.7,80.89,78,40,1.14
158,Sao Miguel Do Araguaia,BR,2022-02-12 16:55:23,-13.275,-50.1628,80.78,78,57,4.63
159,Mackay,AU,2022-02-12 16:55:24,-21.15,149.2,78.78,69,40,13.8
160,Broken Hill,AU,2022-02-12 16:55:24,-31.95,141.4333,74.91,25,0,3.44
161,Zhigalovo,RU,2022-02-12 16:55:24,54.8097,105.1578,-30.33,100,61,1.43
162,Saint-Philippe,RE,2022-02-12 16:55:24,-21.3585,55.7679,78.39,79,16,6.82
163,Winnemucca,US,2022-02-12 16:50:40,40.973,-117.7357,30.25,64,0,4.61
164,Shakawe,BW,2022-02-12 16:55:25,-18.3667,21.85,74.91,67,77,6.22
165,Biloela,AU,2022-02-12 16:55:25,-24.4167,150.5,66.81,78,0,11.56
166,Cabo San Lucas,MX,2022-02-12 16:55:00,22.8909,-109.9124,73.62,49,37,12.17
167,Novotitarovskaya,RU,2022-02-12 16:55:25,45.2356,38.9792,46.06,71,92,12.35
168,Suntar,RU,2022-02-12 16:55:26,62.1444,117.6319,-24.02,100,94,3.02
169,Plettenberg Bay,ZA,2022-02-12 16:50:58,-34.0527,23.3716,70.52,83,79,3.74
170,Tulun,RU,2022-02-12 16:55:26,54.5611,100.5792,-22.34,100,86,2.28
171,Kokopo,PG,2022-02-12 16:51:02,-4.352,152.2633,76.17,88,100,4.54
172,Warmbad,NA,2022-02-12 16:55:26,-28.45,18.7333,82.2,47,97,7.78
173,Corsicana,US,2022-02-12 16:55:26,32.0954,-96.4689,43.18,57,100,14.0
174,College,US,2022-02-12 16:55:27,64.8569,-147.8028,-5.01,78,75,0.0
175,Lagoa,PT,2022-02-12 16:50:51,39.05,-27.9833,60.04,87,100,22.03
176,Nouadhibou,MR,2022-02-12 16:55:27,20.931,-17.0347,78.78,29,96,12.66
177,Srednekolymsk,RU,2022-02-12 16:55:27,67.45,153.6833,-32.76,98,56,7.23
178,Karonga,MW,2022-02-12 16:55:27,-9.9333,33.9333,73.67,87,100,4.61
179,Lexington Park,US,2022-02-12 16:55:28,38.2668,-76.4538,68.11,40,0,10.36
180,Trinidad,BO,2022-02-12 16:55:28,-14.8333,-64.9,84.18,74,75,4.61
181,Hobyo,SO,2022-02-12 16:55:28,5.3505,48.5268,77.58,67,98,16.91
182,Severnyy,RU,2022-02-12 16:55:28,50.677,36.5532,30.24,86,0,15.66
183,Avera,US,2022-02-12 16:55:29,33.194,-82.5271,62.38,48,98,4.32
184,Kruisfontein,ZA,2022-02-12 16:55:29,-34.0033,24.7314,72.72,88,42,8.72
185,Kadoshkino,RU,2022-02-12 16:56:29,54.0257,44.4191,25.92,97,100,9.1
186,Sitka,US,2022-02-12 16:56:30,57.0531,-135.33,40.89,81,100,16.11
187,Scottsboro,US,2022-02-12 16:56:30,34.6723,-86.0341,58.89,54,0,9.22
188,Phangnga,TH,2022-02-12 16:56:30,8.4509,98.5298,86.92,90,95,2.82
189,Georgetown,MY,2022-02-12 16:53:58,5.4112,100.3354,82.89,79,20,3.44
190,Qianan,CN,2022-02-12 16:56:30,44.9932,124.0581,-9.94,100,12,3.91
191,Thinadhoo,MV,2022-02-12 16:56:31,0.5333,72.9333,81.91,68,100,6.58
192,Sayville,US,2022-02-12 16:56:31,40.7359,-73.0821,58.64,65,61,8.99
193,Teya,RU,2022-02-12 16:56:31,60.3778,92.6267,-15.63,100,42,2.19
194,Buin,CL,2022-02-12 16:56:31,-33.7333,-70.75,87.06,15,69,9.04
195,Hasaki,JP,2022-02-12 16:56:32,35.7333,140.8333,28.8,59,47,6.06
196,Marawi,PH,2022-02-12 16:56:32,7.9986,124.2928,65.64,91,100,3.13
197,Vostok,RU,2022-02-12 16:53:23,46.4856,135.8833,4.8,98,100,2.19
198,Daru,PG,2022-02-12 16:56:32,-9.0763,143.2092,79.05,77,23,10.18
199,Victoria,HK,2022-02-12 16:56:32,22.2855,114.1577,67.17,87,85,4.0
200,Karacabey,TR,2022-02-12 16:56:33,40.2152,28.4038,44.98,78,100,7.99
201,Los Llanos De Aridane,ES,2022-02-12 16:56:33,28.6585,-17.9182,64.15,79,75,14.97
202,La Ronge,CA,2022-02-12 16:56:33,55.1001,-105.2842,-18.15,63,20,0.0
203,Ayan,RU,2022-02-12 16:56:33,56.45,138.1667,-5.66,80,58,6.69
204,Waingapu,ID,2022-02-12 16:56:34,-9.6567,120.2641,77.02,86,99,4.05
205,Hamilton,US,2022-02-12 16:56:34,39.1834,-84.5333,32.07,80,100,11.5
206,Thompson,CA,2022-02-12 16:56:34,55.7435,-97.8558,-16.44,69,0,8.05
207,Komatipoort,ZA,2022-02-12 16:56:35,-25.4332,31.9548,85.05,61,0,9.22
208,Rio Grande,BR,2022-02-12 16:56:35,-32.035,-52.0986,84.31,61,21,13.35
209,Caldas Novas,BR,2022-02-12 16:56:35,-17.7417,-48.625,77.79,77,90,3.58
210,Dingle,PH,2022-02-12 16:56:35,10.9995,122.6711,74.79,92,92,8.72
211,Navalcarnero,ES,2022-02-12 16:56:36,40.2891,-4.012,60.66,53,78,5.86
