City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Pevek,RU,69.7008,170.3133,-16.37,97,100,8.5,overcast clouds
79,Saldanha,ZA,-33.0117,17.9442,64.17,90,0,13.47,clear sky
80,Mahebourg,MU,-20.4081,57.7,80.26,94,75,9.22,broken clouds
81,Miguel Auza,MX,24.2933,-103.4503,50.76,28,100,9.51,overcast clouds
82,Bongandanga,CD,1.5,21.05,72.73,53,100,4.0,overcast clouds
83,Chokurdakh,RU,70.6333,147.9167,-13.34,96,87,8.46,overcast clouds
84,Carnarvon,AU,-24.8667,113.6333,84.09,66,6,2.66,clear sky
85,Santa Luzia,BR,-19.7697,-43.8514,68.9,96,49,2.46,scattered clouds
86,Ust-Nera,RU,64.5667,143.2,-25.58,94,45,0.67,scattered clouds
87,Yaan,NG,7.3833,8.5667,80.02,13,96,3.27,overcast clouds
88,Berlevag,NO,70.8578,29.0864,21.06,90,100,7.92,light snow
89,Saint Anthony,US,45.0205,-93.218,8.15,77,100,8.05,snow
90,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,9.22,light rain
91,Pangnirtung,CA,66.1451,-65.7125,-35.1,92,74,6.02,broken clouds
92,Vao,NC,-22.6667,167.4833,80.28,80,97,6.85,overcast clouds
93,Avarua,CK,-21.2078,-159.775,77.05,83,75,4.61,light rain
94,Mwinilunga,ZM,-11.7358,24.4293,62.4,97,100,3.83,light rain
95,Esperance,AU,-33.8667,121.9,66.81,65,100,12.41,overcast clouds
96,Sindor,RU,62.8629,51.8905,2.55,99,100,3.8,overcast clouds
97,Aska,IN,19.6061,84.6725,57.25,55,8,2.77,clear sky
98,Padang,ID,-0.9492,100.3543,75.25,69,71,3.42,broken clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,75.7,92,11,14.36,few clouds
100,Ilulissat,GL,69.2167,-51.1,8.62,66,40,18.41,scattered clouds
101,Chaman,PK,30.9236,66.4512,48.16,46,100,1.72,overcast clouds
102,Victoria,HK,22.2855,114.1577,62.26,80,24,5.99,few clouds
103,Kutum,SD,14.2,24.6667,59.07,19,6,8.9,clear sky
104,Nikolskoye,RU,59.7035,30.7861,36.88,91,100,11.88,overcast clouds
